Jurisdiction	Applies To	Personal_Data_Definition	Right_to_Access	Right_to_Delete	Opt-Out_of_Sale	Max_Civil_Penalty
Minnesota (MCDPA)	Controllers meeting 100,000-consumer or 25,000+25% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; UOOM by Jan 2026; right to question profiling	$7,500/violation
Mississippi	No omnibus law; MCPA + breach statute	Name + SSN/DL/financial credential/health-insurance	No	No	No	$10,000/violation under MCPA
Missouri	No omnibus law; MMPA + breach statute	Name + SSN/DL/financial credential/electronic identifier	No	No	No	$1,000/violation under MMPA
Montana (MCDPA)	Controllers meeting 50,000-consumer or 25,000+25% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; UOOM since Jan 2025	$7,500/violation
Nebraska (NDPA)	Persons doing business in Nebraska processing personal data (small-business exception except for sensitive data)	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; UOOM Jan 2026	$7,500/violation
Nevada (SB 220)	Operators of websites/online services and registered data brokers	Covered information (name + identifier + means of contact)	No	No	Yes (monetary sale only)	$5,000/violation under DTPA
New Hampshire (NHPA)	Persons meeting 35,000-consumer or 10,000-consumer+25% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; UOOM since Jan 2025	$10,000/violation under NH CPA
New Jersey (NJDPA)	Controllers meeting 100,000-consumer or 25,000+sale threshold	Information linked or reasonably linkable to an individual; includes financial info	Yes	Yes	Yes; sensitive-data opt-in	$10,000 first / $20,000 subsequent under CFA
New Mexico	No omnibus law; UPA + breach statute	Name + SSN/DL/financial credential/biometric	No	No	No	$5,000/wilful violation under UPA
New York (SHIELD)	Persons or businesses with NY resident PII (SHIELD); NYDFS-regulated entities; minors operators	Private information (name + SSN/DL/financial credential/biometric/credentials)	Limited (sectoral)	Minors only via NY Child Data Protection Act	Minors only via NY Child Data Protection Act	$5,000/violation under SHIELD; PRA under GBL 349
North Carolina	No omnibus law; ITPA + UDTPA	Name + SSN/DL/financial credential/biometric/employer/taxpayer ID	No	No	No	$5,000/violation under UDTPA; treble damages PRA
North Dakota	No omnibus law; CFA + breach statute	Name + SSN/DL/financial credential/employer ID/biometric	No	No	No	$5,000/violation under CFA
Ohio	No omnibus law; ODPA safe harbour + breach + CSPA	Name + SSN/DL/financial credential	No	No	No	$25,000/violation under CSPA
Oklahoma	No omnibus law; OCPA + breach statute	Name + SSN/DL/financial credential	No	No	No	$10,000/violation under OCPA; breach cap $150,000
Oregon (OCPA)	Controllers meeting 100,000-consumer or 25,000+25% sale threshold (incl. non-profits)	Information linked or reasonably linkable to an individual; explicit inferences	Yes (incl. third-party recipient list)	Yes	Yes; sensitive-data opt-in	$7,500/violation under UTPA
Pennsylvania	No omnibus law; UTPCPL + breach statute	Name + SSN/DL/financial credential/medical/username+password	No	No	No	$1,000/violation; $3,000 for elder
Rhode Island (RIDTPPA)	Persons meeting 35,000-consumer or 10,000-consumer+20% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; mandatory privacy-notice transparency	$500/intentional violation under DTPA
South Carolina	No omnibus law; FIFITPA + UTPA	Name + SSN/DL/financial credential	No	No	No	$5,000/wilful violation under UTPA; breach $1,000/resident
South Dakota	No omnibus law; DTPCPA + breach statute	Name + SSN/DL/financial credential/biometric/employer ID/credentials	No	No	No	$10,000/day breach violation; $2,000/violation under DTPCPA
Tennessee (TIPA)	$25M+ revenue and 175,000-consumer or 25,000+50% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes; NIST safe harbour affirmative defence	$7,500/violation; treble for wilful
Texas (TDPSA)	Persons doing business in Texas processing personal data, not a small business; no consumer-count threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes (monetary or other consideration); UOOM since Jan 2025; sensitive-data opt-in	$7,500/violation
Utah (UCPA)	$25M+ revenue and 100,000-consumer or 25,000+50% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes (consumer-provided only)	Yes (monetary only); no profiling opt-out	$7,500/violation
Vermont	No omnibus law; data-broker registration + VCPA + breach statute	Brokered personal information (broad: name/address/email/financial/health/etc.)	No	Data-broker opt-out	Data-broker opt-out via registration	$10,000/violation under VCPA; data-broker $50/day capped at $10,000/year
Virginia (VCDPA)	Persons meeting 100,000-consumer or 25,000+50% sale threshold	Information linked or reasonably linkable to an individual	Yes	Yes	Yes (monetary only)	$7,500/violation
Washington (My Health My Data)	Entities collecting consumer health data of natural persons in Washington (no thresholds; small business deferred to June 2024)	Consumer health data (very broad, incl. precise location and biometrics)	Yes	Yes (including backups)	Sale of consumer health data prohibited absent authorisation	$7,500/violation under CPA; treble damages PRA up to $25,000/plaintiff
West Virginia	No omnibus law; CCPA + breach statute	Name + SSN/DL/financial credential	No	No	No	$5,000/wilful violation under CCPA
Wisconsin	No omnibus law; DTPA + breach statute	Name + SSN/DL/financial credential/DNA/biometric	No	No	No	$10,000/violation under DTPA
Wyoming	No omnibus law; WCPA + breach statute	Name + SSN/DL/financial credential/employer ID/biometric/health	No	No	No	$5,000/violation under WCPA
